profnumber,profevaluation,beauty,gender,age,formal,lower,native,minority,students,tenure
91,4.9,-0.0901815,female,52,no,yes,english,no,17,tenured
91,4.8,-0.0901815,female,52,no,yes,english,no,19,tenured
92,3.9,-0.1450257,female,60,yes,no,non english,no,19,tenure track
92,4.5,-0.1450257,female,60,yes,no,non english,no,13,tenure track
92,3.6,-0.1450257,female,60,yes,no,non english,no,19,tenure track
92,4.4,-0.1450257,female,60,yes,no,non english,no,22,tenure track
92,3.4,-0.1450257,female,60,yes,no,non english,no,20,tenure track
92,4.4,-0.1450257,female,60,yes,no,non english,no,27,tenure track
93,4.5,1.143045,male,32,no,yes,english,no,127,tenure track
93,4.5,1.143045,male,32,no,no,english,no,85,tenure track
93,4.6,1.143045,male,32,no,yes,english,no,101,tenure track
93,4.1,1.143045,male,32,no,yes,english,no,21,tenure track
93,4.5,1.143045,male,32,no,no,english,no,86,tenure track
94,4.4,0.3320507,female,42,no,no,non english,yes,67,tenure track
94,4.4,0.3320507,female,42,no,no,non english,yes,66,tenure track
94,4.1,0.3320507,female,42,no,yes,non english,yes,35,tenure track
